,SubjectID,Condition,Precision,Bias,Sessions,Alphasamples,Betasamples
0,sub_0019,Intero,14.333,9.694,1,"[11.11766127 13.02365744  9.71957435  9.83222477 10.85627892 10.69255914
  8.39680242 10.65710077  9.20757874  8.05806507  7.19544904  4.75278398
 11.60242146 11.90583686  8.44346098  7.689802    8.35507298 11.57902856
 10.37834019 10.66620441  9.9245889   9.58934965  8.55976011 12.45752958
  7.10809004 10.382449   10.09720454 11.07137605  9.54945462 10.39445127
 12.47009809  9.07961027 10.25577971  9.27721919  6.35212889 13.73344434
  9.41229401  8.92757715  8.37514266 12.4953461 ]","[13.75612717 14.84103126 23.10041196 15.71889583 10.05193785  9.87648061
 14.76516047 14.48100957 12.51255325 10.56942864 16.0781656  20.44993309
 11.18677471 11.24451464 12.12557007 13.14553597 16.78110366 11.23727739
 11.40118949 10.18129309 15.72939398 10.35900236 14.49117219 10.85278861
 12.50002181 15.2872751  12.62189668 12.9053279  14.24680762 15.46154022
 12.74322615 17.24284858 25.40925102 20.76869089 13.5364278  14.00362935
 20.65254891  9.81113748 17.25036283 10.82953391]"
1,sub_0020,Intero,10.378,-13.712,1,"[-13.89135916 -15.65048973 -16.9014883  -16.65082497 -15.19321563
 -15.54868429 -13.69895067 -12.83724988 -14.18522849 -11.05435361
 -12.52798624 -12.25605659 -14.85864741 -16.47815604 -11.61312182
 -12.15263595 -15.05926167 -13.22966665 -14.70745287 -17.44788991
 -12.49202955 -12.98469008 -12.93315468 -14.89534903 -11.88387242
 -10.85473904 -14.61869229 -14.53237296 -13.05178505 -14.48276654
 -13.83308667 -12.07065867 -13.04132607 -13.10902493 -13.04138097
 -15.04471772 -13.71723343 -12.51256141 -12.75534835 -13.70546617]","[13.91936378 15.38775375 14.85994754  9.68923837 14.17591476  8.87981209
 11.2570196   8.11068607 11.10480013  8.24222752  8.28426069 11.54048716
  8.54809871 16.16584351  7.7892689   7.88507059  9.8700583  17.10760945
 14.6589798  11.2431758  10.86904864 11.70759351 11.55131452  8.76834037
  9.94475327 11.11192762 11.42751739 11.47421028  8.72483813  7.67374124
 15.09737415  7.52336344  8.38649517  8.88274548 10.91397915 11.42083335
  8.78143804  8.57463302  9.53779467  7.80290934]"
2,sub_0022,Intero,12.004,-2.502,1,"[ 0.07228433 -1.73374663 -3.9033287  -1.38587006 -6.48000944 -1.17113291
  3.15814917  1.96208392  1.23752679  1.93080931 -4.10789755 -3.6483865
 -2.91280827 -3.22610045 -1.1519009  -3.75401373 -1.37958828 -1.09604561
 -4.83687881 -5.51842481 -7.89653338  0.71574974  0.71574974 -2.97312693
 -1.04388005  1.92590071 -3.38365171 -0.59265964 -0.92678127 -3.27661962
 -3.52510553 -2.0388525  -3.40973679 -4.09773191 -3.24856349 -0.106112
 -0.59968794 -2.03929932 -1.69029034 -4.26091659]","[10.91097817 11.44278878 11.77851851 10.45972934 12.2840629  19.06397077
 17.66444288 18.59446333 12.51168999 12.47739267 11.86042323 14.72937109
 14.47078496  9.854314   11.57518398 11.26422924 10.80536838 14.52119456
  8.39049717 16.30023208 11.1258463  10.45096392 10.45096392  9.3010728
  9.48078792  9.67719022 10.27474632 12.23956199 11.77800332 10.7620297
 11.70108504 12.3102736   9.17425714 12.68532031 13.39110484 10.04577291
 10.67999466 13.38360187 11.39067483  9.88460423]"
3,sub_0023,Intero,12.394,-9.506,1,"[-14.43044849 -16.22090201 -17.55876179 -19.21082346 -15.57910394
 -15.75238798 -17.84392241 -14.27132346 -14.03300658  -9.20022085
  -9.25391743  -8.8769863  -10.00979824 -11.41103104 -10.36468959
  -9.67514196 -11.2315336   -9.44801385  -9.80063024  -8.05741879
  -7.21612223 -10.62653891  -8.29931977 -10.60436216  -8.16669228
  -8.8419688   -9.58920863  -6.60358929 -11.19410831  -9.84579935
 -11.37033992 -11.73941671 -12.5660219   -8.5625053  -10.38255417
 -12.86950217 -12.51668338 -11.70516913  -9.12801151  -9.61020096]","[27.60138922 22.63852617 22.00923107 21.26491535 21.32566569 26.94276889
 23.97468897 16.2769475  15.77907972 11.23326949  9.34567631  8.93606344
 12.24958824 10.39886035 12.68473088 12.77972794 12.70264463 10.35245611
 11.00589135 12.81348327  9.79748069  8.6942     10.33004497 10.32546391
 11.86761252 13.71095637 10.44320688 13.02546027 10.7499127  12.59980187
 10.52649991 10.11263427  9.75336802 10.66693592 20.855005   15.77867193
 16.6991128  12.95973917  7.05143509 10.53044097]"
4,sub_0024,Intero,11.535,9.577,1,"[ 9.0944016   8.96163316  8.80595905  7.8172909   9.80624434  8.30943343
 10.28552431  8.58598948 10.87231826 10.10485212  8.2201068  11.73683095
 10.89666733 11.49050873 11.78317738  5.24948713  8.46601794  8.6533584
  9.83090061  8.41818611 11.15071558  8.94854449  7.89324114  9.03840551
 10.57015836 10.57775051 11.0799949  11.0799949   9.45270976  9.50650178
  8.65552691 10.85822595  9.7064731  11.0005093   9.10519305  8.63232639
  9.7151377   5.33525309 10.49017117 10.33849039]","[15.9468098  16.28751398 16.30987396 10.18922434  7.95569091 10.94897981
 11.80715925  9.96169539 10.23359845 11.46066524  8.59565504 12.22175844
  8.28469915 12.28965429 10.78446227 12.13126003  8.65293589 10.61510421
 11.17121341 11.12968493 10.08076067  9.70570543  9.27375628  9.00101419
  9.71521051  9.71739445  9.39172843  9.39172843 11.97996049 12.06064768
 12.29416095  8.25222704  9.02136669 13.82172168 10.90199499 13.67742712
 11.16471715 11.55624811 13.14326782 10.42596881]"
5,sub_0025,Intero,15.312,-21.093,1,"[-24.18153893 -24.08294487 -17.12455675 -17.11364238 -15.55486124
 -16.43286276 -25.12468475 -21.41668147 -18.217808   -21.37473411
 -19.05973322 -24.59130208 -25.02338249 -23.24695327 -16.99978526
 -18.06173983 -20.24933456 -17.41246178 -16.04793316 -15.25080264
 -19.17768616 -26.91417824 -26.05600862 -16.06569428 -20.30288784
 -17.76065294 -24.74429194 -20.50745187 -21.44335001 -22.34599643
 -16.14537148 -18.48012863 -17.96979334 -21.18645851 -21.29022879
 -23.94097838 -21.223356   -21.68021777 -20.5146366  -18.99375591]","[11.39317655 19.91568744 11.68011793 10.73583024 13.449588   15.34051351
 14.56533774 12.75108104 15.91620521 10.91199442 17.58201516 13.93820714
 15.12554043 14.44896983 11.98277684 11.65531698 13.61851943 20.81766134
 20.65505383 20.94362826 10.01850573 13.79151112 14.76674474 15.13268568
 16.47365425  9.50823273 21.31434121 14.13111965 18.4685574   9.29023482
 25.48621296 29.7308129  24.59808446 11.66051737 18.86985653  9.67225917
 13.77967435 11.1356489  10.14170064 13.83754064]"
6,sub_0026,Intero,6.863,-4.561,1,"[-3.73841728 -4.45000995 -5.41336567 -5.15427562 -3.95805905 -4.26237812
 -4.72248736 -4.8242714  -3.84547255 -5.76087767 -6.24543946 -7.64600334
 -4.82036787 -4.570067   -4.00538068 -4.31263208 -2.42003118 -3.87175238
 -3.76274182 -4.30118929 -1.02018585 -1.2306486  -1.46381519 -5.05609058
 -2.67483175 -6.77502295 -3.92306488 -4.16906932 -3.61775796 -2.50933687
 -0.43572657 -4.97029981 -3.55981951 -3.55981951 -4.53757364 -4.29388595
 -4.16381121 -4.53447116 -4.32011986 -5.86946192]","[6.69394265 6.5523007  6.3249625  7.84171995 5.33693629 6.48859638
 7.55594563 6.12621714 6.80957312 6.35326137 8.70253879 7.21785514
 6.50940646 6.41679111 8.04672962 6.25047179 7.00187729 7.37150807
 7.73688936 6.73821718 9.14177382 8.93988093 7.82093404 7.33647773
 5.91684877 6.42038428 6.75614034 6.22027696 5.64856359 4.31318857
 5.30027001 6.95190984 6.02419613 6.02419613 7.16854977 7.34932295
 6.88256975 6.01392337 6.86650773 8.43628353]"
7,sub_0027,Intero,15.07,-0.661,1,"[ 0.85163274 -1.29503659 -0.5032272  -5.7754675   2.48169619  1.54402272
 -1.90580386 -1.26092451 -0.40216387 -0.28596027  0.62486847  0.85728382
 -1.63617839 -1.97652194 -1.39211799 -3.67943467  3.01270051 -1.06469966
 -1.36795719  1.59327057 -2.4493126  -3.51073821 -4.41309092 -3.90226674
 -1.83060381 -0.43465458 -4.25470148  3.1301536   4.03796845 -2.31052194
 -1.15498368  1.88761721 -3.57031945 -2.16424427 -1.14473771 -0.12697058
 -1.0532415  -3.73487735 -2.52538982  0.58842439]","[13.17283178 13.50858168 12.4088688  14.73580126 22.3563502  22.44716241
 10.07082018 10.29905932 19.35585782 20.3744544  29.52345097 30.98140492
  7.39817944  8.98393403 12.57217844 11.10178705 12.98708657 13.53042562
 16.93247975 13.65638611 18.26315563 15.26238175 13.43231908 14.27927056
 16.8524299  11.13802612 11.69442927 19.33175558 17.02400755 17.20288683
 21.85398282 13.96035839 15.25600265 16.78647241 12.69848839 11.55775882
 16.60814862 12.63823323 17.7682751  12.67837103]"
8,sub_0028,Intero,10.106,-13.966,1,"[-15.08598353 -11.53741563 -14.48523138 -14.59005061 -12.38135859
 -14.83915976 -14.8187567  -12.54132691 -15.83477316 -15.65997153
 -13.30037539 -12.72752358 -13.90392754 -15.70787793 -12.94467802
 -13.1415314  -16.09500146 -11.30037676 -12.6802392  -12.66924615
 -14.33565435 -14.3930989  -12.41671678 -16.75197537 -14.19882421
 -14.55296059 -17.09453355 -11.40898081 -13.40729549 -12.00122472
 -12.77507339 -13.96915825 -11.94593739 -12.4497799  -15.76567951
 -14.006832   -12.05934716 -14.25386771 -14.4736542  -12.74958294]","[ 9.96711599  9.50490989 12.36014021 12.47062869  8.25648387  8.06428195
  8.35937931  9.52945457 10.27207021 11.2367241   9.78705619  9.58722455
  8.7089969   7.85379235  9.40683619  9.3964101   9.85244992 10.25442497
  7.7405125   7.79893181 10.70067039 10.90065946 10.68794774 13.23652843
 11.17418843  9.4538768  10.84997639  8.17667786  8.15400948  8.99761801
 10.00865131  8.49833246  6.85163798  7.19925121  7.62142853  9.57763448
  7.5023574   7.90705085  8.30698227 10.12344429]"
9,sub_0029,Intero,14.446,-1.98,1,"[-3.57692717 -1.61263215 -1.30560818 -3.87730883 -3.65004064 -0.98941042
 -0.94803183 -0.32009706 -1.97646609 -1.8344394   1.24222001 -2.02906863
  1.75438981 -4.74926906  1.92781588 -4.6753867  -4.81593591  0.67832612
 -2.07889603  0.33769634 -0.82609245 -1.29022855  2.64164062 -6.23271267
 -3.27156013 -4.18246446 -4.86166    -4.55516669 -3.38893194 -2.75674888
 -1.41539333 -4.17167261 -4.38160317 -2.2468926  -1.09288943 -2.20429387
 -2.02120645 -4.50213442  0.25373712  0.91741712]","[10.04277185 16.95191698 18.67945556 19.38417006 18.69657516 16.0571734
 16.11784105 15.37468244 13.65846311 12.53088072 13.57835674 16.04401141
 18.82306167 10.92696835 19.3900921  12.43658833 14.53546486 13.05752861
 17.85144145 15.54202937 10.31433443 14.0773371  17.27579501 13.79022911
 11.68223604 14.63713499 14.50228453 16.14012912 14.88018434 15.58502698
 17.09448076 11.56723583 13.07842402 12.21719921 13.71643625 11.83731761
 11.63327295 13.56181179 12.92335474 12.23185791]"
